[2017-07-08 01:41:29,369][INFO ][node                     ] [Warwolves] stopping ...
[2017-07-08 01:41:29,433][INFO ][node                     ] [Warwolves] stopped
[2017-07-08 01:41:29,434][INFO ][node                     ] [Warwolves] closing ...
[2017-07-08 01:41:29,437][INFO ][node                     ] [Warwolves] closed
[2017-07-08 22:14:50,909][INFO ][node                     ] [Living Hulk] version[2.4.3], pid[20358], build[d38a34e/2016-12-07T16:28:56Z]
[2017-07-08 22:14:50,916][INFO ][node                     ] [Living Hulk] initializing ...
[2017-07-08 22:14:52,321][INFO ][plugins                  ] [Living Hulk] modules [reindex, lang-expression, lang-groovy], plugins [analysis-kuromoji], sites []
[2017-07-08 22:14:52,428][INFO ][env                      ] [Living Hulk] using [1] data paths, mounts [[/home (/dev/sda4)]], net usable_space [305.6gb], net total_space [328.8gb], spins? [possibly], types [ext4]
[2017-07-08 22:14:52,428][INFO ][env                      ] [Living Hulk] heap size [990.7mb], compressed ordinary object pointers [true]
[2017-07-08 22:14:55,598][INFO ][node                     ] [Living Hulk] initialized
[2017-07-08 22:14:55,598][INFO ][node                     ] [Living Hulk] starting ...
[2017-07-08 22:14:55,851][INFO ][transport                ] [Living Hulk] publish_address {127.0.0.1:9300}, bound_addresses {[::1]:9300}, {127.0.0.1:9300}
[2017-07-08 22:14:55,856][INFO ][discovery                ] [Living Hulk] elasticsearch/7AfNefBbRa-N-5aTbbm9GQ
[2017-07-08 22:14:58,896][INFO ][cluster.service          ] [Living Hulk] new_master {Living Hulk}{7AfNefBbRa-N-5aTbbm9GQ}{127.0.0.1}{127.0.0.1:9300}, reason: zen-disco-join(elected_as_master, [0] joins received)
[2017-07-08 22:14:58,924][INFO ][http                     ] [Living Hulk] publish_address {127.0.0.1:9200}, bound_addresses {[::1]:9200}, {127.0.0.1:9200}
[2017-07-08 22:14:58,924][INFO ][node                     ] [Living Hulk] started
[2017-07-08 22:14:59,887][INFO ][gateway                  ] [Living Hulk] recovered [2] indices into cluster_state
[2017-07-08 22:15:03,454][INFO ][cluster.routing.allocation] [Living Hulk] Cluster health status changed from [RED] to [YELLOW] (reason: [shards started [[theses][2], [theses][2]] ...]).
[2017-07-08 22:16:18,851][INFO ][cluster.metadata         ] [Living Hulk] [thesis_development] creating index, cause [api], templates [], shards [5]/[1], mappings [thesis]
[2017-07-08 22:16:19,633][INFO ][cluster.routing.allocation] [Living Hulk] Cluster health status changed from [RED] to [YELLOW] (reason: [shards started [[thesis_development][4]] ...]).
